artist,song,genre
Little Mix,Black Magic,pop
One Direction,Perfect,pop
Years & Years,Shine,"pop, Dance/Electronic"
Meghan Trainor,Lips Are Movin,pop
Nicky Jam,El Perd??n - Forgiveness,latin
The Weeknd,Starboy,"pop, R&B"
Drake,One Dance,"hip hop, pop, R&B"
Justin Bieber,Love Yourself,pop
The Chainsmokers,Closer,"pop, Dance/Electronic"
Adele,Hello,"pop, R&B"
Desiigner,Panda,"hip hop, pop"
Burak Yeter,Tuesday (feat. Danelle Sandoval),Dance/Electronic
Sia,Cheap Thrills (feat. Sean Paul),pop
OneRepublic,Wherever I Go,pop
Rihanna,Work,"hip hop, pop, R&B"
Coldplay,Hymn for the Weekend,"rock, pop"
Justin Bieber,Sorry,pop
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",pop
WILLOW,Wait a Minute!,"pop, R&B, Dance/Electronic"
Desiigner,Tiimmy Turner,"hip hop, pop"
G-Eazy,"Me, Myself & I","hip hop, pop"
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),"hip hop, pop, Dance/Electronic"
Astrid S,Hurts So Good,"rock, pop, Dance/Electronic"
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","hip hop, pop"
Twenty One Pilots,Heathens,rock
Future,Low Life (feat. The Weeknd),"hip hop, pop"
Galantis,No Money,"pop, Dance/Electronic"
The Chainsmokers,Don't Let Me Down,"pop, Dance/Electronic"
Tinie Tempah,Girls Like (feat. Zara Larsson),"hip hop, pop, Dance/Electronic"
Alok,Hear Me Now,"pop, Dance/Electronic"
Jon Bellion,All Time Low,"hip hop, pop"
Cheat Codes,Sex,"pop, Dance/Electronic"
Meghan Trainor,NO,pop
Dua Lipa,Hotter Than Hell,pop
Martin Garrix,In the Name of Love,"pop, Dance/Electronic"
Alan Walker,Faded,Dance/Electronic
Tove Lo,Cool Girl,"pop, Dance/Electronic"
DJ Snake,Let Me Love You,"hip hop, pop, Dance/Electronic"
Calvin Harris,This Is What You Came For (feat. Rihanna),"hip hop, pop, Dance/Electronic"
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"hip hop, pop, Dance/Electronic"
Kevin Gates,2 Phones,"hip hop, pop"
Rihanna,Needed Me,"hip hop, pop, R&B"
Ariana Grande,Side To Side,pop
Marshmello,Alone,"pop, Dance/Electronic"
Shawn Mendes,I Know What You Did Last Summer,pop
Selena Gomez,Same Old Love,pop
Calvin Harris,My Way,"hip hop, pop, Dance/Electronic"
Fitz and The Tantrums,HandClap,"pop, rock"
Twenty One Pilots,Ride,rock
Flo Rida,My House,"hip hop, pop"
Ariana Grande,Dangerous Woman,pop
Anne-Marie,Alarm,"pop, Dance/Electronic"
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),pop
AlunaGeorge,I'm In Control,"pop, Dance/Electronic"
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),"pop, latin"
MNEK,Never Forget You,Dance/Electronic
Mike Perry,The Ocean (feat. Shy Martin),"pop, Dance/Electronic"
Drake,Hotline Bling,"hip hop, pop, R&B"
Ariana Grande,Into You,pop
Shawn Mendes,Treat You Better,pop
Tory Lanez,Say It,"hip hop, pop, R&B"
Coldplay,Adventure of a Lifetime,"rock, pop"
Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,"pop, Dance/Electronic"
SAYGRACE,You Don't Own Me (feat. G-Eazy),"pop, R&B"
X Ambassadors,Renegades,"hip hop, rock, pop"
DNCE,Cake By The Ocean,pop
99 Souls,The Girl Is Mine,Dance/Electronic
Illy,Papercuts (feat. Vera Blue),"hip hop, pop, Dance/Electronic"
Kiiara,Gold,"rock, pop, Dance/Electronic"
Kygo,Stole the Show,"pop, Dance/Electronic"
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),pop
Drake,Pop Style,"hip hop, pop, R&B"
ZAYN,PILLOWTALK,"pop, Dance/Electronic"
Alessia Cara,Here,"pop, R&B"
DJ Snake,Middle,"hip hop, pop, Dance/Electronic"
Sigala,Sweet Lovin' - Radio Edit,"pop, Dance/Electronic"
Drake,Jumpman,"hip hop, pop, R&B"
Charlie Puth,Dangerously,pop
Nick Jonas,Close,pop
Jonas Blue,Perfect Strangers,"pop, Dance/Electronic"
Major Lazer,Cold Water (feat. Justin Bieber & M??),"hip hop, pop, Dance/Electronic"
The Chainsmokers,Roses,"pop, Dance/Electronic"
Tory Lanez,LUV,"hip hop, pop, R&B"
P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",pop
Bryson Tiller,Don't,"hip hop, pop, R&B"
Steve Aoki,Just Hold On,"hip hop, pop, Dance/Electronic"
Clean Bandit,Tears (feat. Louisa Johnson),"pop, Dance/Electronic"
Jonas Blue,Fast Car,"pop, Dance/Electronic"
Flume,Never Be Like You,Dance/Electronic
Bastille,Good Grief,"pop, rock"
Sia,The Greatest (feat. Kendrick Lamar),pop
PARTYNEXTDOOR,Not Nice,"hip hop, pop, R&B"
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)","hip hop, pop"
Hilltop Hoods,1955,"hip hop, pop"
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),pop
Daya,"Sit Still, Look Pretty","rock, pop, Dance/Electronic"
Kent Jones,Don't Mind,hip hop
Flume,Say It,Dance/Electronic
Bryson Tiller,Exchange,"hip hop, pop, R&B"
M??,Final Song,"pop, Dance/Electronic"
Beyonc??,Sorry,"pop, R&B"
Little Mix,Shout Out to My Ex,pop
The Lumineers,Ophelia,"pop, Folk/Acoustic"
Frank Ocean,Pink + White,"hip hop, pop, R&B"
Drake,Too Good,"hip hop, pop, R&B"
Ed Sheeran,Shape of You,pop
Sean Paul,No Lie,"hip hop, pop"
Luis Fonsi,Despacito (Featuring Daddy Yankee),"pop, latin"
Sam Smith,Too Good At Goodbyes,pop
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"pop, Dance/Electronic"
Camila Cabello,Havana (feat. Young Thug),pop
Imagine Dragons,Thunder,rock
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),pop
The Chainsmokers,Something Just Like This,"pop, Dance/Electronic"
Ed Sheeran,Perfect,pop
MGMT,Little Dark Age,rock
Travis Scott,goosebumps,"hip hop, Dance/Electronic"
Billie Eilish,Bored,"pop, Dance/Electronic"
Future,Mask Off,"hip hop, pop"
G-Eazy,Him & I,"hip hop, pop"
Maroon 5,Cold (feat. Future),pop
Rae Sremmurd,Swang,"hip hop, pop"
Lil Peep,Save That Shit,hip hop
A$AP Ferg,Plain Jane,"hip hop, pop"
French Montana,Unforgettable,"hip hop, pop"
21 Savage,Bank Account,hip hop
Axwell /\ Ingrosso,More Than You Know,"pop, Dance/Electronic"
ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,"pop, Dance/Electronic"
J Balvin,Mi Gente,latin
Jax Jones,You Don't Know Me - Radio Edit,"hip hop, pop, Dance/Electronic"
Rae Sremmurd,Black Beatles,"hip hop, pop"
Zara Larsson,Ain't My Fault,"pop, Dance/Electronic"
Travis Scott,BUTTERFLY EFFECT,"hip hop, Dance/Electronic"
Ayo & Teo,Rolex,"hip hop, pop"
Lil Uzi Vert,XO Tour Llif3,hip hop
Imagine Dragons,Whatever It Takes,rock
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),hip hop
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"hip hop, pop"
G-Eazy,No Limit,"hip hop, pop"
Playboi Carti,Magnolia,hip hop
Chord Overstreet,Hold On,"pop, Folk/Acoustic"
Jax Jones,Breathe,"hip hop, pop, Dance/Electronic"
Imagine Dragons,Believer,rock
Natti Natasha,Criminal,"pop, latin"
Kendrick Lamar,HUMBLE.,hip hop
Selena Gomez,Fetish (feat. Gucci Mane),pop
Charlie Puth,Attention,pop
Big Shaq,Man's Not Hot,"pop, Dance/Electronic"
Anne-Marie,Ciao Adios,"pop, Dance/Electronic"
Rag'n'Bone Man,Human,R&B
blackbear,do re mi,"hip hop, pop, Dance/Electronic"
Lil Pump,Gucci Gang,hip hop
Taylor Swift,Look What You Made Me Do,pop
Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),"pop, latin"
Kodak Black,Tunnel Vision,hip hop
Kendrick Lamar,DNA.,hip hop
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),hip hop
XXXTENTACION,Jocelyn Flores,hip hop
Migos,Bad and Boujee (feat. Lil Uzi Vert),"hip hop, pop"
Yo Gotti,Rake It Up (feat. Nicki Minaj),"hip hop, pop"
Martin Garrix,Scared to Be Lonely,"pop, Dance/Electronic"
Jonas Blue,Mama,"pop, Dance/Electronic"
Martin Jensen,Solo Dance,"pop, Dance/Electronic"
Taylor Swift,...Ready For It?,pop
David Guetta,2U (feat. Justin Bieber),"hip hop, pop, Dance/Electronic"
Migos,Slippery (feat. Gucci Mane),"hip hop, pop"
Shawn Mendes,There's Nothing Holdin' Me Back,pop
G-Eazy,Good Life (with G-Eazy & Kehlani),"hip hop, pop"
The Vamps,All Night,pop
Dua Lipa,New Rules,pop
Cardi B,Bodak Yellow,"hip hop, pop"
Rag'n'Bone Man,Skin,R&B
Zara Larsson,I Would Like,"pop, Dance/Electronic"
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),"hip hop, pop"
Post Malone,Congratulations,hip hop
Avicii,Without You (feat. Sandro Cavazza),"pop, Dance/Electronic"
Clean Bandit,Symphony (feat. Zara Larsson),"pop, Dance/Electronic"
Katy Perry,Chained To The Rhythm,pop
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),set()
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","hip hop, pop, Dance/Electronic"
Migos,T-Shirt,"hip hop, pop"
OneRepublic,Rich Love (with Seeb),pop
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,"rock, pop"
Macklemore,Glorious (feat. Skylar Grey),"hip hop, pop"
Hayden James,NUMB,"pop, Dance/Electronic"
Liam Payne,Strip That Down,pop
Drake,Passionfruit,"hip hop, pop, R&B"
Justin Bieber,Friends (with BloodPop??),pop
ZAYN,"I Don?€?t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","pop, Dance/Electronic"
Alessia Cara,Scars To Your Beautiful,"pop, R&B"
2 Chainz,It's A Vibe,"hip hop, pop"
Starley,Call on Me - Ryan Riback Remix,"pop, Dance/Electronic"
AJR,Weak,rock
Lana Del Rey,Lust for Life (with The Weeknd),pop
CNCO,Reggaet??n Lento (Remix),"pop, latin"
The Vamps,Middle Of The Night,pop
The Weeknd,I Feel It Coming,"pop, R&B"
The Chainsmokers,Paris,"pop, Dance/Electronic"
Big Sean,Bounce Back,"hip hop, pop"
Shawn Mendes,Mercy,pop
Avicii,Lonely Together (feat. Rita Ora),"pop, Dance/Electronic"
Cheat Codes,No Promises (feat. Demi Lovato),"pop, Dance/Electronic"
Bruno Mars,24K Magic,pop
Lorde,Homemade Dynamite - REMIX,"pop, Dance/Electronic"
Kygo,It Ain't Me (with Selena Gomez),"pop, Dance/Electronic"
Drake,God's Plan,"hip hop, pop, R&B"
Post Malone,rockstar (feat. 21 Savage),hip hop
Offset,Ric Flair Drip (with Metro Boomin),"hip hop, pop"
G-Eazy,Him & I (with Halsey),"hip hop, pop"
Dynoro,In My Mind,"pop, Dance/Electronic"
Juice WRLD,Lucid Dreams,hip hop
Zedd,The Middle,"hip hop, pop, Dance/Electronic"
Marshmello,FRIENDS,"pop, Dance/Electronic"
Cardi B,I Like It,"hip hop, pop"
XXXTENTACION,Moonlight,hip hop
Ariana Grande,no tears left to cry,pop
Sheck Wes,Mo Bamba,hip hop
Calvin Harris,One Kiss (with Dua Lipa),"hip hop, pop, Dance/Electronic"
Tyga,Taste (feat. Offset),"hip hop, pop"
Travis Scott,SICKO MODE,"hip hop, Dance/Electronic"
Imagine Dragons,Natural,rock
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","hip hop, pop, Dance/Electronic"
Marshmello,Spotlight,"pop, Dance/Electronic"
The Weeknd,Pray For Me (with Kendrick Lamar),"pop, R&B"
Billie Eilish,lovely (with Khalid),"pop, Dance/Electronic"
Migos,Walk It Talk It,"hip hop, pop"
Clean Bandit,Solo (feat. Demi Lovato),"pop, Dance/Electronic"
Drake,Nonstop,"hip hop, pop, R&B"
6ix9ine,FEFE,hip hop
The Weeknd,Call Out My Name,"pop, R&B"
Nio Garcia,Te Bot?? - Remix,latin
Migos,MotorSport,"hip hop, pop"
Nicky Jam,X,latin
XXXTENTACION,SAD!,hip hop
Becky G,Sin Pijama,"pop, latin"
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","hip hop, pop"
6ix9ine,GUMMO,hip hop
Jax Jones,Breathe,"hip hop, pop, Dance/Electronic"
The Chainsmokers,Sick Boy,"pop, Dance/Electronic"
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)","hip hop, pop"
Rich The Kid,Plug Walk,"hip hop, pop"
Kendrick Lamar,All The Stars (with SZA),hip hop
Logic,Everyday,"hip hop, pop"
Jason Derulo,Tip Toe (feat. French Montana),"hip hop, pop"
Ariana Grande,God is a woman,pop
Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,"hip hop, pop"
EO,German,set()
Dennis Lloyd,Nevermind,pop
girl in red,we fell in love in october,"pop, rock, Dance/Electronic"
Selena Gomez,Wolves,pop
Ti??sto,Jackie Chan,"pop, Dance/Electronic"
Tom Walker,Leave a Light On,"rock, pop"
Sof??a Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","pop, latin"
Marshmello,Silence,"pop, Dance/Electronic"
5 Seconds of Summer,Youngblood,pop
Loud Luxury,Body (feat. brando),"pop, Dance/Electronic"
Liam Payne,For You (Fifty Shades Freed) (& Rita Ora),pop
NF,Let You Down,"hip hop, pop"
XXXTENTACION,changes,hip hop
Maluma,Coraz??n (feat. Nego do Borel),latin
Cardi B,Bodak Yellow,"hip hop, pop"
Lil Baby,Yes Indeed,hip hop
Jonas Blue,Rise,"pop, Dance/Electronic"
David Guetta,Flames,"hip hop, pop, Dance/Electronic"
Ozuna,Vaina Loca,latin
Charlie Puth,How Long,pop
Post Malone,Better Now,hip hop
BlocBoy JB,Look Alive (feat. Drake),"hip hop, pop"
Eminem,River (feat. Ed Sheeran),hip hop
Marshmello,Happier,"pop, Dance/Electronic"
Dean Lewis,Be Alright,pop
Charlie Puth,Done for Me (feat. Kehlani),pop
Migos,Stir Fry,"hip hop, pop"
YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","hip hop, pop"
Drake,In My Feelings,"hip hop, pop, R&B"
B Young,Jumanji,"hip hop, Dance/Electronic"
Charlie Puth,The Way I Am,pop
Reik,Me Niego (feat. Ozuna & Wisin),"pop, latin"
benny blanco,Eastside (with Halsey & Khalid),"hip hop, pop"
Luis Fonsi,??chame La Culpa,"pop, latin"
MK,17,"pop, Dance/Electronic"
Rita Ora,Anywhere,"hip hop, pop, Dance/Electronic"
Banx & Ranx,Answerphone (feat. Yxng Bane),Dance/Electronic
Ella Mai,Trip,"hip hop, pop, R&B"
Daddy Yankee,Dura,latin
DJ Khaled,No Brainer,"hip hop, pop"
Anne-Marie,2002,"pop, Dance/Electronic"
Bruno Mars,Finesse - Remix; feat. Cardi B,pop
FINNEAS,Let's Fall in Love for the Night,"rock, pop, Dance/Electronic"
Hugh Jackman,The Greatest Show,easy listening
Halsey,Bad At Love,"pop, Dance/Electronic"
Drake,I'm Upset,"hip hop, pop, R&B"
Camila Cabello,Never Be the Same,pop
M.O,Bad Vibe,"pop, Dance/Electronic"
Dua Lipa,IDGAF,pop
Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),"pop, rock"
Bazzi,Mine,"pop, Dance/Electronic"
Lil Dicky,Freaky Friday (feat. Chris Brown),"hip hop, pop"
Lauv,I Like Me Better,"pop, Dance/Electronic"
The Chainsmokers,This Feeling,"pop, Dance/Electronic"
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,pop
Khalid,Love Lies (with Normani),"pop, R&B"
Drake,Nice For What,"hip hop, pop, R&B"
Kendrick Lamar,LOVE. FEAT. ZACARI.,hip hop
Post Malone,Psycho (feat. Ty Dolla $ign),hip hop
Lil Nas X,Old Town Road - Remix,"hip hop, pop"
Billie Eilish,bad guy,"pop, Dance/Electronic"
Shawn Mendes,Se??orita,pop
Ariana Grande,7 rings,pop
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,hip hop
Gesaffelstein,Lost in the Fire (feat. The Weeknd),Dance/Electronic
Halsey,Without Me,"pop, Dance/Electronic"
Regard,Ride It,"pop, Dance/Electronic"
Lady Gaga,Shallow,pop
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),pop
Lewis Capaldi,Someone You Loved,pop
Jax Jones,All Day And Night,"hip hop, pop, Dance/Electronic"
Mustard,Pure Water (with Migos),"hip hop, pop"
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],hip hop
Kodak Black,ZEZE (feat. Travis Scott & Offset),hip hop
Daddy Yankee,Con Calma,latin
Alec Benjamin,Let Me Down Slowly,"rock, pop, Dance/Electronic"
BLACKPINK,Kill This Love,pop
Offset,Clout (feat. Cardi B),"hip hop, pop"
MEDUZA,Piece Of Your Heart,"pop, Dance/Electronic"
Ed Sheeran,Antisocial (with Travis Scott),pop
Travis Scott,SICKO MODE,"hip hop, Dance/Electronic"
Mabel,Mad Love,"pop, Dance/Electronic"
Lana Del Rey,Doin' Time,pop
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","hip hop, pop, Dance/Electronic"
A Boogie Wit da Hoodie,Look Back at It,hip hop
Saweetie,My Type,"hip hop, pop, R&B"
Lil Tecca,Ransom,hip hop
Russ Millions,Keisha & Becky - Remix,pop
Billie Eilish,lovely (with Khalid),"pop, Dance/Electronic"
Mabel,Don't Call Me Up,"pop, Dance/Electronic"
Lil Nas X,Old Town Road,"hip hop, pop"
Meek Mill,Going Bad (feat. Drake),"hip hop, pop"
Post Malone,Wow.,hip hop
Doja Cat,Juicy,pop
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),hip hop
iann dior,emotions,"hip hop, pop"
Paulo Londra,Adan y Eva,"hip hop, latin, Dance/Electronic"
Drake,Money In The Grave (Drake ft. Rick Ross),"hip hop, pop, R&B"
Lil Nas X,Panini,"hip hop, pop"
Bad Bunny,MIA (feat. Drake),latin
Polo G,Pop Out (feat. Lil Tjay),hip hop
Juice WRLD,Robbery,hip hop
21 Savage,a lot,hip hop
Young Thug,The London (feat. J. Cole & Travis Scott),"hip hop, pop"
Anuel AA,China,latin
Camila Cabello,Liar,pop
Flipp Dinero,Leave Me Alone,"hip hop, pop"
Cardi B,Money,"hip hop, pop"
Ariana Grande,"break up with your girlfriend, i'm bored",pop
Dave,Location (feat. Burna Boy),hip hop
Ava Max,Sweet but Psycho,pop
Dua Lipa,Don't Start Now,pop
Young T & Bugsey,Strike a Pose (feat. Aitch),hip hop
Calvin Harris,Giant (with Rag'n'Bone Man),"hip hop, pop, Dance/Electronic"
Ed Sheeran,Take Me Back to London (feat. Stormzy),pop
Cardi B,Please Me,"hip hop, pop"
Stormzy,Vossi Bop,"hip hop, Dance/Electronic"
Tones And I,Dance Monkey,pop
Ariana Grande,boyfriend (with Social House),pop
Bad Bunny,Callaita,latin
Ava Max,So Am I,pop
Pedro Cap??,Calma - Remix,"pop, latin"
J. Cole,MIDDLE CHILD,hip hop
Lunay,Soltera - Remix,"pop, latin"
Khalid,Better,"pop, R&B"
Blueface,Thotiana,hip hop
DaBaby,Suge,hip hop
AJ Tracey,Ladbroke Grove,"hip hop, Dance/Electronic"
Billie Eilish,bury a friend,"pop, Dance/Electronic"
BTS,Boy With Luv (feat. Halsey),pop
Wiley,Boasty (feat. Idris Elba),"hip hop, Dance/Electronic"
Jonas Brothers,Only Human,pop
5 Seconds of Summer,Easier,pop
Avicii,SOS (feat. Aloe Blacc),"pop, Dance/Electronic"
"Tyler, The Creator",EARFQUAKE,hip hop
Ashley O,On A Roll,set()
Dominic Fike,3 Nights,"rock, pop"
Sigala,Wish You Well,"pop, Dance/Electronic"
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"hip hop, pop, R&B"
Anuel AA,Secreto,latin
Sam Feldt,Post Malone (feat. RANI),"pop, Dance/Electronic"
Kehlani,Nights Like This (feat. Ty Dolla $ign),"hip hop, pop, R&B"
Sech,Otro Trago,latin
Post Malone,Better Now,hip hop
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),pop
Lauv,i'm so tired...,"pop, Dance/Electronic"
iann dior,gone girl,"hip hop, pop"
Panic! At The Disco,High Hopes,rock
Marshmello,One Thing Right,"pop, Dance/Electronic"
Sam Smith,How Do You Sleep?,pop
NSG,Options,"World/Traditional, hip hop"
Normani,Motivation,"pop, R&B"
Joel Corry,Sorry,"pop, Dance/Electronic"
Post Malone,Goodbyes (Feat. Young Thug),hip hop
Jonas Brothers,Sucker,pop
Taylor Swift,Cruel Summer,pop
Blanco Brown,The Git Up,"hip hop, country"
Sam Smith,Dancing With A Stranger (with Normani),pop
Post Malone,Circles,hip hop
